,Title,content
10,"Â 
""CONCORDIA Hospital Insurance",", without clicking any of the links. 

Hospital Insurance from CONCORDIA offers four policies tailored to individual needs â PRIVATE, SEMI-PRIVATE, GENERAL or the flexible option, LIBERO. With PRIVATE and SEMI-PRIVATE, you get access to doctors and hospitals worldwide and enjoy more flexibility. Room and board for one parent accompanying a child or vice versa is a covered cost. Deductibles are paid only once a year and CON"
11,"Â 
""CONCORDIA: Private",".
CONCORDIA is an insurance provider that offers multiple plans for individuals, couples, children, seniors, and families, such as Basic Insurance, Supplementary Insurances, Private Pension Provision, and Medical Plans. Services also include hospital and dental care insurance, travel insurance, daily allowance, and accident protection. PRIVATE Hospital Insurance offers worldwide coverage of medical treatments with a free choice of hospital, single room, preferential care, and family-friendly service. Additional benefits include a Global Assistance option and Health Compass."
12,CONCORDIA: SEMI-,".

CONCORDIA offers health insurance plans for individuals and families, such as Basic, Supplementary and Private Retirement. Services include semi-private hospital insurance, force of choice of hospital, doctor, double-room comfort, rooming-in, birth contributions and premiums reductions. Beneficiaries receive full cost coverage, optional deductibles, second medical advice and personal consultation. Additionally, contact details for 190 branches with competent staff are provided."
13,"""LIBERO Hospital Insurance: Flexible",".
LIBERO Hospital Insurance provides the option to choose a preferred hospital ward such as private, semi-private or general upon admission. It offers attractive premiums, limitations on deductibles, and additional benefits. FAMILIAR model provides free access to all contract hospitals in Switzerland and the choice of doctor in private or semi-private ward. Families benefit from premium discounts and contributions towards a hospital stay. Other supplementary insurances for things such as dental care, travel and private pension are available."
14,"""CONCORDIA: Your Health","and max 110 tokens.

Concordia offers a variety of insurance plans for health and wellbeing such as basic insurance, supplementary insurances, family doctor model HMO model, telemedicine model, travel insurance, private pension provision and more. Benefit from free access to hospitals across Switzerland, special benefits for children and family, full coverage, premium reductions and a 24-hour emergency call service. Calculate premiums and find out more information."
15,"""Dental Care Insurance - CONCORD",", 3. max 110 tokens. 
 CONCORDIA offers Dental Care Insurance that offers variable coverage up to 75% of dentist's costs for up to CHF 2000. It is available for children up to 5-years-old without a certificate, and includes benefits like dental checks, periodontal treatments, prosthetics and orthodontics. Available for individuals and families."
16,Travel Insurance: CONCORDIA,"as the above

CONCORDIA's Vacation and Travel Insurance offers comprehensive insurance coverage abroad for individuals, couples or families, including coverage for emergency treatment costs, repatriation transport and dental treatment due to accidents local rates. It also provides 24-hour emergency call service and advice regarding how to prevent falls. It can be taken out for one or more people, for customised selection of the insurance duration."
17,Daily Allowance Insurance - CONCORDIA,".

 CONCORDIA provides a range of insurance plans including Basic Insurance and Supplementary Insurances, all of which provide protection from loss of earnings. The Daily Allowance Insurance provides financial security in the event of incapacity due to illness, pregnancy complications or accident. Customers can choose a daily allowance personally, the start date and the benefits included such as STANDARD Daily Allowance Insurance, PLUS and Voluntary Daily Allowance Insurance, depending on whether they are employed, self-employed or farmers. Reimbursement and premium reductions available."
18,Private Pension Provision Solutions,", 3. try to avoid being too generic: 
CONCORDIA offers a range of private pension provision solutions, including tied pension provision (pillar 3a) and flexible pension provision (pillar 3b) enabling tax deductions and providing financial security. Solutions include CONVITA - flexible insurance, TIKU/DIMA/DIMI - term life insurance, INVIVA - savings and term life insurance, CONVENIA - endowment life insurance, and ACCIDENTA - accident insurance. Through its 190 branches, CONC"
19,"Â 

""TIKU Insurances","and 3. It has to be maximum 110 tokens. 
TIKU CONCORDIA provides various types of insurance plans including Basic Insurance, Supplementary Insurances, Private Pension Provision and several Life Situation covers. The health of their customers is their priority, so they offer concordiaMed 24-hour counselling in order to give optimal support. Customers can get insurance quotes, switch to CONCORDIA and save money with discounts, premium reductions and referrals."
